Date,Link,OptionText
1840-03-28 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-721_activity-7000000000000000-AaAa-poll,Option D
1849-10-03 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-495_activity-7000000000000001-AaAa-poll,Option B
1851-02-19 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-467_activity-7000000000000002-AaAa-poll,Option D
1849-05-26 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-27_activity-7000000000000003-AaAa-poll,Option A
1847-03-04 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-430_activity-7000000000000004-AaAa-poll,Option C
1844-10-15 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-247_activity-7000000000000005-AaAa-poll,Option B
1847-05-12 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-816_activity-7000000000000006-AaAa-poll,Option C
1842-08-23 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-937_activity-7000000000000007-AaAa-poll,Option A
1844-10-09 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-691_activity-7000000000000008-AaAa-poll,Option C
1846-11-18 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-453_activity-7000000000000009-AaAa-poll,Option A
1849-05-25 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-369_activity-7000000000000010-AaAa-poll,Option C
1842-06-01 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-389_activity-7000000000000011-AaAa-poll,Option C
1849-08-02 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-698_activity-7000000000000012-AaAa-poll,Option B
1845-07-17 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-1_activity-7000000000000013-AaAa-poll,Option B
1851-07-04 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-115_activity-7000000000000014-AaAa-poll,Option A
